package_name,category,subcategory,framework,ecosystem
redux,Application Development,Reactive Programming,Redux,javascript
object-assign,Utility Libraries,General Utilities,Object-assign,javascript
zone.js,Utility Libraries,General Utilities,Zone.js,javascript
babel-eslint,Testing & Quality,Static Analysis,Babel-eslint,javascript
gulp,Developer Tooling,Build Tools,Gulp,javascript
gulp-util,Developer Tooling,Build Tools,Gulp-util,javascript
file-loader,Developer Tooling,Build Tools,File-loader,javascript
ora,Utility Libraries,General Utilities,Ora,javascript
node-fetch,Application Integration,RPC & Web Services,Node-fetch,javascript
@angular/platform-browser,Application Development,Web Frameworks,@angular/platform-browser,javascript
@babel/runtime,Developer Tooling,Build Tools,@babel/runtime,javascript
handlebars,Application Development,Template Engines,Handlebars,javascript
eslint-plugin-import,Testing & Quality,Static Analysis,Eslint-plugin-import,javascript
@angular/compiler,Application Development,Web Frameworks,@angular/compiler,javascript
eslint-plugin-react,Testing & Quality,Static Analysis,Eslint-plugin-react,javascript
aws-sdk,Deployment & Runtime Platforms,Cloud Platforms,Aws-sdk,javascript
yosay,Utility Libraries,General Utilities,Yosay,javascript
url-loader,Developer Tooling,Build Tools,Url-loader,javascript
@angular/forms,Application Development,Web Frameworks,@angular/forms,javascript
webpack-dev-server,Developer Tooling,Build Tools,Webpack-dev-server,javascript
@angular/platform-browser-dynamic,Application Development,Web Frameworks,@angular/platform-browser-dynamic,javascript
mocha,Testing & Quality,Testing Frameworks,Mocha,javascript
html-webpack-plugin,Developer Tooling,Build Tools,Html-webpack-plugin,javascript
socket.io,Application Integration,Messaging Protocols,Socket.io,javascript
ws,Application Integration,Messaging Protocols,Ws,javascript
babel-preset-es2015,Developer Tooling,Build Tools,Babel-preset-es2015,javascript
postcss-loader,Developer Tooling,Build Tools,Postcss-loader,javascript
node-sass,Developer Tooling,Build Tools,Node-sass,javascript
ember-cli-babel,Developer Tooling,Build Tools,Ember-cli-babel,javascript
babel-polyfill,Developer Tooling,Build Tools,Babel-polyfill,javascript
@angular/router,Application Development,Web Frameworks,@angular/router,javascript
ramda,Utility Libraries,Collections & Data Structures,Ramda,javascript
react-redux,Application Development,Reactive Programming,React-redux,javascript
@babel/core,Developer Tooling,Build Tools,@babel/core,javascript
@angular/http,Application Development,Web Frameworks,@angular/http,javascript
ejs,Application Development,Template Engines,Ejs,javascript
coffee-script,Utility Libraries,General Utilities,Coffee-script,javascript
superagent,Application Integration,RPC & Web Services,Superagent,javascript
request-promise,Application Integration,RPC & Web Services,Request-promise,javascript
autoprefixer,Developer Tooling,Build Tools,Autoprefixer,javascript
path,Utility Libraries,General Utilities,Path,javascript
mongodb,Data Management,NoSQL Databases,Mongodb,javascript
chai,Testing & Quality,Testing Frameworks,Chai,javascript
mongoose,Data Management,ORM & Data Access,Mongoose,javascript
xml2js,Serialization,JSON & XML,Xml2js,javascript
bootstrap,Application Development,Web Frameworks,Bootstrap,javascript
jest,Testing & Quality,Testing Frameworks,Jest,javascript
sass-loader,Developer Tooling,Build Tools,Sass-loader,javascript
redis,Data Management,Caching,Redis,javascript
vue-router,Application Development,Web Frameworks,Vue-router,javascript
chokidar,Utility Libraries,General Utilities,Chokidar,javascript
co,Utility Libraries,General Utilities,Co,javascript
eslint-plugin-jsx-a11y,Testing & Quality,Static Analysis,Eslint-plugin-jsx-a11y,javascript
nan,Utility Libraries,General Utilities,Nan,javascript
optimist,Utility Libraries,General Utilities,Optimist,javascript
promise,Utility Libraries,General Utilities,Promise,javascript
@angular/animations,Application Development,Reactive Programming,@angular/animations,javascript
postcss,Developer Tooling,Build Tools,Postcss,javascript
morgan,Observability,Logging,Morgan,javascript
less,Application Development,Template Engines,Less,javascript
immutable,Utility Libraries,Collections & Data Structures,Immutable,javascript
qs,Utility Libraries,General Utilities,Qs,javascript
loader-utils,Developer Tooling,Build Tools,Loader-utils,javascript
fs,Utility Libraries,General Utilities,Fs,javascript
extract-text-webpack-plugin,Developer Tooling,Build Tools,Extract-text-webpack-plugin,javascript
marked,Utility Libraries,General Utilities,Marked,javascript
mime,Utility Libraries,General Utilities,Mime,javascript
@alifd/next,Application Development,Web Frameworks,@alifd/next,javascript
meow,Utility Libraries,General Utilities,Meow,javascript
styled-components,Application Development,Template Engines,Styled-components,javascript
resolve,Developer Tooling,Build Tools,Resolve,javascript
reflect-metadata,Utility Libraries,Reflection & Metadata,Reflect-metadata,javascript
babel-preset-react,Developer Tooling,Build Tools,Babel-preset-react,javascript
jsonwebtoken,Security,Authentication & Authorization,Jsonwebtoken,javascript
react-router-dom,Application Development,Web Frameworks,React-router-dom,javascript
extend,Utility Libraries,General Utilities,Extend,javascript
cookie-parser,Application Integration,Messaging Protocols,Cookie-parser,javascript
whatwg-fetch,Application Integration,RPC & Web Services,Whatwg-fetch,javascript
babel-preset-env,Developer Tooling,Build Tools,Babel-preset-env,javascript
babel-jest,Testing & Quality,Testing Frameworks,Babel-jest,javascript
mysql,Data Management,Relational Databases,Mysql,javascript
joi,Utility Libraries,General Utilities,Joi,javascript
minimatch,Utility Libraries,General Utilities,Minimatch,javascript
eslint-loader,Testing & Quality,Static Analysis,Eslint-loader,javascript
react-dev-utils,Developer Tooling,Build Tools,React-dev-utils,javascript
node-uuid,Utility Libraries,General Utilities,Node-uuid,javascript
es6-promise,Utility Libraries,General Utilities,Es6-promise,javascript
cross-spawn,Utility Libraries,General Utilities,Cross-spawn,javascript
case-sensitive-paths-webpack-plugin,Developer Tooling,Build Tools,Case-sensitive-paths-webpack-plugin,javascript
uglify-js,Developer Tooling,Build Tools,Uglify-js,javascript
cors,Security,Transport Security,Cors,javascript
eslint-plugin-flowtype,Testing & Quality,Static Analysis,Eslint-plugin-flowtype,javascript
react-router,Application Development,Web Frameworks,React-router,javascript
@babel/preset-env,Developer Tooling,Build Tools,@babel/preset-env,javascript
deepmerge,Utility Libraries,General Utilities,Deepmerge,javascript
socket.io-client,Application Integration,Messaging Protocols,Socket.io-client,javascript
npm,Developer Tooling,Local Development Runtimes,Npm,javascript
webpack-manifest-plugin,Developer Tooling,Build Tools,Webpack-manifest-plugin,javascript
koa,Application Development,Web Frameworks,Koa,javascript
isomorphic-fetch,Application Integration,RPC & Web Services,Isomorphic-fetch,javascript
babel-cli,Developer Tooling,Build Tools,Babel-cli,javascript
del,Utility Libraries,General Utilities,Del,javascript
postcss-flexbugs-fixes,Developer Tooling,Build Tools,Postcss-flexbugs-fixes,javascript
compression,Utility Libraries,General Utilities,Compression,javascript
update-notifier,Utility Libraries,General Utilities,Update-notifier,javascript
babel-preset-react-app,Developer Tooling,Build Tools,Babel-preset-react-app,javascript
jade,Application Development,Template Engines,Jade,javascript
prompt,Utility Libraries,General Utilities,Prompt,javascript
gulp-rename,Developer Tooling,Build Tools,Gulp-rename,javascript
angular,Application Development,Web Frameworks,Angular,javascript
underscore.string,Utility Libraries,General Utilities,Underscore.string,javascript
graphql,Application Integration,Service Integration Frameworks,Graphql,javascript
execa,Utility Libraries,General Utilities,Execa,javascript
browserify,Developer Tooling,Build Tools,Browserify,javascript
opn,Utility Libraries,General Utilities,Opn,javascript
validator,Utility Libraries,General Utilities,Validator,javascript
eslint-config-react-app,Testing & Quality,Static Analysis,Eslint-config-react-app,javascript
vuex,Application Development,Web Frameworks,Vuex,javascript
prettier,Testing & Quality,Static Analysis,Prettier,javascript
invariant,Utility Libraries,General Utilities,Invariant,javascript
jsdom,Testing & Quality,Testing Frameworks,Jsdom,javascript
@types/react,Utility Libraries,General Utilities,@types/react,javascript
redux-thunk,Application Development,Reactive Programming,Redux-thunk,javascript
mini-css-extract-plugin,Developer Tooling,Build Tools,Mini-css-extract-plugin,javascript
globby,Utility Libraries,General Utilities,Globby,javascript
pg,Data Management,Relational Databases,Pg,javascript
got,Application Integration,RPC & Web Services,Got,javascript
ajv,Utility Libraries,General Utilities,Ajv,javascript
xtend,Utility Libraries,General Utilities,Xtend,javascript
ember-cli-htmlbars,Developer Tooling,Build Tools,Ember-cli-htmlbars,javascript
babel-plugin-transform-runtime,Developer Tooling,Build Tools,Babel-plugin-transform-runtime,javascript
nodemailer,Application Integration,RPC & Web Services,Nodemailer,javascript
source-map-support,Developer Tooling,Build Tools,Source-map-support,javascript
express-session,Application Integration,Messaging Protocols,Express-session,javascript
d3,Application Development,Web Frameworks,D3,javascript
less-loader,Developer Tooling,Build Tools,Less-loader,javascript
fsevents,Utility Libraries,General Utilities,Fsevents,javascript
babel-preset-stage-0,Developer Tooling,Build Tools,Babel-preset-stage-0,javascript
download-git-repo,Developer Tooling,Build Tools,Download-git-repo,javascript
query-string,Utility Libraries,General Utilities,Query-string,javascript
font-awesome,Application Development,Web Frameworks,Font-awesome,javascript
open,Utility Libraries,General Utilities,Open,javascript
passport,Security,Authentication & Authorization,Passport,javascript
@types/lodash,Utility Libraries,General Utilities,@types/lodash,javascript
grunt,Developer Tooling,Build Tools,Grunt,javascript
path-to-regexp,Utility Libraries,General Utilities,Path-to-regexp,javascript
mustache,Application Development,Template Engines,Mustache,javascript
inherits,Utility Libraries,General Utilities,Inherits,javascript
tmp,Utility Libraries,General Utilities,Tmp,javascript
md5,Utility Libraries,General Utilities,Md5,javascript
dotenv-expand,Utility Libraries,Configuration Utilities,Dotenv-expand,javascript
crypto-js,Utility Libraries,General Utilities,Crypto-js,javascript
request-promise-native,Application Integration,RPC & Web Services,Request-promise-native,javascript
through,Utility Libraries,General Utilities,Through,javascript
connect,Application Development,Web Frameworks,Connect,javascript
raf,Utility Libraries,General Utilities,Raf,javascript
react-scripts,Developer Tooling,Build Tools,React-scripts,javascript
readable-stream,Utility Libraries,General Utilities,Readable-stream,javascript
highlight.js,Utility Libraries,General Utilities,Highlight.js,javascript
@babel/polyfill,Utility Libraries,General Utilities,@babel/polyfill,javascript
progress,Utility Libraries,General Utilities,Progress,javascript
optimize-css-assets-webpack-plugin,Developer Tooling,Build Tools,Optimize-css-assets-webpack-plugin,javascript
iconv-lite,Utility Libraries,General Utilities,Iconv-lite,javascript
bunyan,Observability,Logging,Bunyan,javascript
gulp-uglify,Developer Tooling,Build Tools,Gulp-uglify,javascript
koa-router,Application Development,Web Frameworks,Koa-router,javascript
ncp,Utility Libraries,General Utilities,Ncp,javascript
lodash.merge,Utility Libraries,General Utilities,Lodash.merge,javascript
lru-cache,Data Management,Caching,Lru-cache,javascript
moment-timezone,Utility Libraries,Date & Time Utilities,Moment-timezone,javascript
figlet,Utility Libraries,General Utilities,Figlet,javascript
history,Utility Libraries,General Utilities,History,javascript
readline-sync,Utility Libraries,General Utilities,Readline-sync,javascript
pluralize,Utility Libraries,General Utilities,Pluralize,javascript
url,Utility Libraries,General Utilities,Url,javascript
log4js,Observability,Logging,Log4js,javascript
cli-table,Utility Libraries,General Utilities,Cli-table,javascript
webpack-merge,Developer Tooling,Build Tools,Webpack-merge,javascript
archiver,Utility Libraries,General Utilities,Archiver,javascript
babel-register,Developer Tooling,Build Tools,Babel-register,javascript
eslint-config-airbnb,Testing & Quality,Static Analysis,Eslint-config-airbnb,javascript
clone,Utility Libraries,General Utilities,Clone,javascript
jsonfile,Utility Libraries,General Utilities,Jsonfile,javascript
puppeteer,Testing & Quality,Testing Frameworks,Puppeteer,javascript
shortid,Utility Libraries,General Utilities,Shortid,javascript
@babel/plugin-proposal-class-properties,Developer Tooling,Build Tools,@babel/plugin-proposal-class-properties,javascript
querystring,Utility Libraries,General Utilities,Querystring,javascript
serve-static,Application Development,Web Frameworks,Serve-static,javascript
tslint,Testing & Quality,Static Analysis,Tslint,javascript
pug,Application Development,Template Engines,Pug,javascript
config,Utility Libraries,Configuration Utilities,Config,javascript
source-map,Developer Tooling,Build Tools,Source-map,javascript
antd,Application Development,Web Frameworks,Antd,javascript
concat-stream,Utility Libraries,General Utilities,Concat-stream,javascript
element-ui,Application Development,Web Frameworks,Element-ui,javascript
lodash.get,Utility Libraries,General Utilities,Lodash.get,javascript
@babel/preset-react,Developer Tooling,Build Tools,@babel/preset-react,javascript
serve-favicon,Application Development,Web Frameworks,Serve-favicon,javascript
stylus,Developer Tooling,Build Tools,Stylus,javascript
date-fns,Utility Libraries,Date & Time Utilities,Date-fns,javascript
esprima,Testing & Quality,Static Analysis,Esprima,javascript
sequelize,Data Management,ORM & Data Access,Sequelize,javascript
babel-plugin-transform-object-rest-spread,Developer Tooling,Build Tools,Babel-plugin-transform-object-rest-spread,javascript
bindings,Utility Libraries,General Utilities,Bindings,javascript
events,Utility Libraries,General Utilities,Events,javascript
graceful-fs,Utility Libraries,General Utilities,Graceful-fs,javascript
normalize.css,Utility Libraries,General Utilities,Normalize.css,javascript
crypto,Utility Libraries,General Utilities,Crypto,javascript
cross-env,Developer Tooling,Build Tools,Cross-env,javascript
mime-types,Utility Libraries,General Utilities,Mime-types,javascript
event-stream,Utility Libraries,General Utilities,Event-stream,javascript
hoist-non-react-statics,Utility Libraries,General Utilities,Hoist-non-react-statics,javascript
gulp-concat,Developer Tooling,Build Tools,Gulp-concat,javascript
terser-webpack-plugin,Developer Tooling,Build Tools,Terser-webpack-plugin,javascript
json-loader,Developer Tooling,Build Tools,Json-loader,javascript
warning,Observability,Logging,Warning,javascript
bignumber.js,Utility Libraries,General Utilities,Bignumber.js,javascript
eventemitter3,Utility Libraries,General Utilities,Eventemitter3,javascript
webpack-cli,Developer Tooling,Build Tools,Webpack-cli,javascript
strip-ansi,Utility Libraries,General Utilities,Strip-ansi,javascript
cli-color,Utility Libraries,General Utilities,Cli-color,javascript
form-data,Utility Libraries,General Utilities,Form-data,javascript
web3,Utility Libraries,General Utilities,Web3,javascript
gulp-sourcemaps,Developer Tooling,Build Tools,Gulp-sourcemaps,javascript
webpack-dev-middleware,Developer Tooling,Build Tools,Webpack-dev-middleware,javascript
ip,Utility Libraries,General Utilities,Ip,javascript
camelcase,Utility Libraries,General Utilities,Camelcase,javascript
sw-precache-webpack-plugin,Developer Tooling,Build Tools,Sw-precache-webpack-plugin,javascript
merge,Utility Libraries,General Utilities,Merge,javascript
http-proxy,Application Integration,API Gateways,Http-proxy,javascript
react-transition-group,Application Development,Reactive Programming,React-transition-group,javascript
multer,Application Integration,RPC & Web Services,Multer,javascript
deep-equal,Utility Libraries,General Utilities,Deep-equal,javascript
browser-sync,Developer Tooling,Local Development Runtimes,Browser-sync,javascript
babel,Developer Tooling,Build Tools,Babel,javascript
dateformat,Utility Libraries,Date & Time Utilities,Dateformat,javascript
postcss-preset-env,Developer Tooling,Build Tools,Postcss-preset-env,javascript
uglifyjs-webpack-plugin,Developer Tooling,Build Tools,Uglifyjs-webpack-plugin,javascript
@polymer/polymer,Application Development,Web Frameworks,@polymer/polymer,javascript
sinon,Testing & Quality,Mocking & Fakes,Sinon,javascript
eslint-config-prettier,Testing & Quality,Static Analysis,Eslint-config-prettier,javascript
gulp-sass,Developer Tooling,Build Tools,Gulp-sass,javascript
identity-obj-proxy,Testing & Quality,Mocking & Fakes,Identity-obj-proxy,javascript
ts-loader,Developer Tooling,Build Tools,Ts-loader,javascript
react-hot-loader,Application Development,Web Frameworks,React-hot-loader,javascript
sqlite3,Data Management,Relational Databases,Sqlite3,javascript
popper.js,Utility Libraries,General Utilities,Popper.js,javascript
which,Utility Libraries,General Utilities,Which,javascript
markdown-it,Utility Libraries,General Utilities,Markdown-it,javascript
tar,Utility Libraries,General Utilities,Tar,javascript
vue-template-compiler,Application Development,Web Frameworks,Vue-template-compiler,javascript
babel-plugin-transform-class-properties,Developer Tooling,Build Tools,Babel-plugin-transform-class-properties,javascript
js-beautify,Utility Libraries,General Utilities,Js-beautify,javascript
log-symbols,Utility Libraries,General Utilities,Log-symbols,javascript
webpack-hot-middleware,Developer Tooling,Build Tools,Webpack-hot-middleware,javascript
rollup,Developer Tooling,Build Tools,Rollup,javascript
copy-webpack-plugin,Developer Tooling,Build Tools,Copy-webpack-plugin,javascript
nodemon,Developer Tooling,Local Development Runtimes,Nodemon,javascript
boom,Utility Libraries,General Utilities,Boom,javascript
xmldom,Serialization,JSON & XML,Xmldom,javascript
recompose,Utility Libraries,General Utilities,Recompose,javascript
util,Utility Libraries,General Utilities,Util,javascript
ini,Utility Libraries,Configuration Utilities,Ini,javascript
pify,Utility Libraries,General Utilities,Pify,javascript
command-line-args,Utility Libraries,General Utilities,Command-line-args,javascript
vinyl,Utility Libraries,General Utilities,Vinyl,javascript
mz,Utility Libraries,General Utilities,Mz,javascript
lodash.debounce,Utility Libraries,General Utilities,Lodash.debounce,javascript
html-minifier,Developer Tooling,Build Tools,Html-minifier,javascript
ts-node,Developer Tooling,Local Development Runtimes,Ts-node,javascript
nconf,Utility Libraries,Configuration Utilities,Nconf,javascript
recursive-readdir,Utility Libraries,General Utilities,Recursive-readdir,javascript
vue-loader,Developer Tooling,Build Tools,Vue-loader,javascript
@types/express,Utility Libraries,General Utilities,@types/express,javascript
datafire,Application Integration,Service Integration Frameworks,Datafire,javascript
@types/react-dom,Utility Libraries,General Utilities,@types/react-dom,javascript
babel-plugin-transform-decorators-legacy,Developer Tooling,Build Tools,Babel-plugin-transform-decorators-legacy,javascript
clean-css,Developer Tooling,Build Tools,Clean-css,javascript
hoek,Utility Libraries,General Utilities,Hoek,javascript
cookie,Utility Libraries,General Utilities,Cookie,javascript
@babel/plugin-transform-runtime,Developer Tooling,Build Tools,@babel/plugin-transform-runtime,javascript
when,Utility Libraries,General Utilities,When,javascript
babel-plugin-named-asset-import,Developer Tooling,Build Tools,Babel-plugin-named-asset-import,javascript
postcss-safe-parser,Developer Tooling,Build Tools,Postcss-safe-parser,javascript
bcrypt,Security,Authentication & Authorization,Bcrypt,javascript
@material-ui/core,Application Development,Web Frameworks,@material-ui/core,javascript
@babel/plugin-syntax-dynamic-import,Developer Tooling,Build Tools,@babel/plugin-syntax-dynamic-import,javascript
nunjucks,Application Development,Template Engines,Nunjucks,javascript
eslint-plugin-promise,Testing & Quality,Static Analysis,Eslint-plugin-promise,javascript
react-native,Application Development,Mobile & Embedded,React-native,javascript
lodash.isequal,Utility Libraries,General Utilities,Lodash.isequal,javascript
workbox-webpack-plugin,Developer Tooling,Build Tools,Workbox-webpack-plugin,javascript
acorn,Developer Tooling,Build Tools,Acorn,javascript
amqplib,Application Integration,Message Brokers,Amqplib,javascript
@svgr/webpack,Developer Tooling,Build Tools,@svgr/webpack,javascript
color,Utility Libraries,General Utilities,Color,javascript
ms,Utility Libraries,General Utilities,Ms,javascript
js-cookie,Utility Libraries,General Utilities,Js-cookie,javascript
temp,Utility Libraries,General Utilities,Temp,javascript
simple-git,Utility Libraries,General Utilities,Simple-git,javascript
cssnano,Developer Tooling,Build Tools,Cssnano,javascript
reselect,Utility Libraries,General Utilities,Reselect,javascript
yamljs,Utility Libraries,General Utilities,Yamljs,javascript
ioredis,Data Management,Caching,Ioredis,javascript
koa-static,Application Development,Web Frameworks,Koa-static,javascript
react-app-polyfill,Utility Libraries,General Utilities,React-app-polyfill,javascript
react-select,Application Development,Web Frameworks,React-select,javascript
escape-string-regexp,Utility Libraries,General Utilities,Escape-string-regexp,javascript
firebase,Application Development,Web Frameworks,Firebase,javascript
bn.js,Utility Libraries,General Utilities,Bn.js,javascript
escodegen,Developer Tooling,Build Tools,Escodegen,javascript
react-bootstrap,Application Development,Web Frameworks,React-bootstrap,javascript
babelify,Developer Tooling,Build Tools,Babelify,javascript
helmet,Security,Transport Security,Helmet,javascript
nopt,Utility Libraries,General Utilities,Nopt,javascript
eslint-plugin-prettier,Testing & Quality,Static Analysis,Eslint-plugin-prettier,javascript
jest-resolve,Testing & Quality,Testing Frameworks,Jest-resolve,javascript
knex,Data Management,ORM & Data Access,Knex,javascript
pnp-webpack-plugin,Developer Tooling,Build Tools,Pnp-webpack-plugin,javascript
gulp-if,Developer Tooling,Build Tools,Gulp-if,javascript
assert,Testing & Quality,Testing Frameworks,Assert,javascript
global,Utility Libraries,General Utilities,Global,javascript
npmlog,Observability,Logging,Npmlog,javascript
backbone,Application Development,Web Frameworks,Backbone,javascript
graphql-tag,Application Integration,Service Integration Frameworks,Graphql-tag,javascript
raw-loader,Developer Tooling,Build Tools,Raw-loader,javascript
run-sequence,Developer Tooling,Build Tools,Run-sequence,javascript
lodash.clonedeep,Utility Libraries,General Utilities,Lodash.clonedeep,javascript
@oclif/command,Developer Tooling,Local Development Runtimes,@oclif/command,javascript
http-proxy-middleware,Application Integration,API Gateways,Http-proxy-middleware,javascript
gulp-babel,Developer Tooling,Build Tools,Gulp-babel,javascript
@oclif/config,Developer Tooling,Local Development Runtimes,@oclif/config,javascript
vinyl-fs,Utility Libraries,General Utilities,Vinyl-fs,javascript
lodash.throttle,Utility Libraries,General Utilities,Lodash.throttle,javascript
passport-local,Security,Authentication & Authorization,Passport-local,javascript
eventemitter2,Utility Libraries,General Utilities,Eventemitter2,javascript
mqtt,Application Integration,Message Brokers,Mqtt,javascript
unique-random-array,Utility Libraries,General Utilities,Unique-random-array,javascript
buffer,Utility Libraries,General Utilities,Buffer,javascript
redux-saga,Application Development,Reactive Programming,Redux-saga,javascript
react-router-redux,Application Development,Web Frameworks,React-router-redux,javascript
jszip,Utility Libraries,General Utilities,Jszip,javascript
koa-bodyparser,Application Integration,Service Integration Frameworks,Koa-bodyparser,javascript
async-validator,Utility Libraries,General Utilities,Async-validator,javascript
babel-preset-stage-2,Developer Tooling,Build Tools,Babel-preset-stage-2,javascript
node-notifier,Utility Libraries,General Utilities,Node-notifier,javascript
eslint-config-airbnb-base,Testing & Quality,Static Analysis,Eslint-config-airbnb-base,javascript
material-ui,Application Development,Web Frameworks,Material-ui,javascript
validate-npm-package-name,Utility Libraries,General Utilities,Validate-npm-package-name,javascript
clean-webpack-plugin,Developer Tooling,Build Tools,Clean-webpack-plugin,javascript
hammerjs,Utility Libraries,General Utilities,Hammerjs,javascript
redux-logger,Observability,Logging,Redux-logger,javascript
htmlparser2,Utility Libraries,General Utilities,Htmlparser2,javascript
html-loader,Developer Tooling,Build Tools,Html-loader,javascript
filesize,Utility Libraries,General Utilities,Filesize,javascript
gulp-plumber,Developer Tooling,Build Tools,Gulp-plumber,javascript
consolidate,Utility Libraries,General Utilities,Consolidate,javascript
pkginfo,Utility Libraries,General Utilities,Pkginfo,javascript
serialport,Utility Libraries,General Utilities,Serialport,javascript
clear,Utility Libraries,General Utilities,Clear,javascript
should,Testing & Quality,Testing Frameworks,Should,javascript
json5,Serialization,JSON & XML,Json5,javascript
change-case,Utility Libraries,General Utilities,Change-case,javascript
@babel/plugin-proposal-object-rest-spread,Developer Tooling,Build Tools,@babel/plugin-proposal-object-rest-spread,javascript
eslint-plugin-node,Testing & Quality,Static Analysis,Eslint-plugin-node,javascript
app-root-path,Utility Libraries,General Utilities,App-root-path,javascript
create-react-class,Application Development,Web Frameworks,Create-react-class,javascript
postcss-import,Developer Tooling,Build Tools,Postcss-import,javascript
@angular/cdk,Application Development,Web Frameworks,@angular/cdk,javascript
webpack-bundle-analyzer,Developer Tooling,Build Tools,Webpack-bundle-analyzer,javascript
JSONStream,Utility Libraries,General Utilities,JSONStream,javascript
pump,Utility Libraries,General Utilities,Pump,javascript
babylon,Utility Libraries,General Utilities,Babylon,javascript
mobx,Application Development,Reactive Programming,Mobx,javascript
adm-zip,Utility Libraries,General Utilities,Adm-zip,javascript
deep-extend,Utility Libraries,General Utilities,Deep-extend,javascript
rc,Utility Libraries,General Utilities,Rc,javascript
http,Application Integration,RPC & Web Services,Http,javascript
@angular/material,Application Development,Web Frameworks,@angular/material,javascript
eslint-config-standard,Testing & Quality,Static Analysis,Eslint-config-standard,javascript
eslint-plugin-standard,Testing & Quality,Static Analysis,Eslint-plugin-standard,javascript
once,Utility Libraries,General Utilities,Once,javascript
numeral,Utility Libraries,General Utilities,Numeral,javascript
@typescript-eslint/parser,Testing & Quality,Static Analysis,@typescript-eslint/parser,javascript
prismjs,Utility Libraries,General Utilities,Prismjs,javascript
hapi,Application Development,Web Frameworks,Hapi,javascript
url-parse,Utility Libraries,General Utilities,Url-parse,javascript
@babel/cli,Developer Tooling,Build Tools,@babel/cli,javascript
eslint-plugin-react-hooks,Testing & Quality,Static Analysis,Eslint-plugin-react-hooks,javascript
plugin-error,Utility Libraries,General Utilities,Plugin-error,javascript
@typescript-eslint/eslint-plugin,Testing & Quality,Static Analysis,@typescript-eslint/eslint-plugin,javascript
require-dir,Utility Libraries,General Utilities,Require-dir,javascript
gulp-autoprefixer,Developer Tooling,Build Tools,Gulp-autoprefixer,javascript
url-join,Utility Libraries,General Utilities,Url-join,javascript
istanbul,Testing & Quality,Code Coverage,Istanbul,javascript
echarts,Application Development,Web Frameworks,Echarts,javascript
bower,Developer Tooling,Local Development Runtimes,Bower,javascript
resize-observer-polyfill,Utility Libraries,General Utilities,Resize-observer-polyfill,javascript
bcryptjs,Security,Authentication & Authorization,Bcryptjs,javascript
lodash.assign,Utility Libraries,General Utilities,Lodash.assign,javascript
gm,Utility Libraries,General Utilities,Gm,javascript
babel-plugin-add-module-exports,Developer Tooling,Build Tools,Babel-plugin-add-module-exports,javascript
diff,Utility Libraries,General Utilities,Diff,javascript
